Basis Element,Lattice Point,Symmetric,Periodic,Unique Coordinates
"((((0, 0), ((0, 0), (((0, 0), ((1, 0), (0, 0))), (...","[-1, -1, -1, 0, -1, -1, 1, 0]",False,True,3
"((0, 0), (((0, 0), ((0, 0), (((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, -1, 0, -1, -1]",False,True,2
"(((0, 0), ((0, 0), ((0, 0), (((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, -1, 0, -1, 1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), ((1,...","[-1, -1, -1, 0, -1, 0, 0, 0]",False,True,2
"((((((0, 0), ((0, 0), ((1, 0), (0, 0)))), (0, 0)),...","[-1, -1, -1, 0, -1, 0, 1, -1]",False,True,3
"((0, 0), (((((0, 0), ((0, 0), ((1, 0), (0, 0)))), ...","[-1, -1, -1, 0, -1, 0, 1, 1]",False,True,3
"(((0, 0), ((((0, 0), ((0, 0), ((1, 0), (0, 0)))), ...","[-1, -1, -1, 0, -1, 1, -1, 0]",False,True,3
"((0, 0), ((0, 0), ((((0, 0), ((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, -1, 1, 0, -1]",False,True,3
"((((0, 0), (((0, 0), ((0, 0), ((1, 0), (0, 0)))), ...","[-1, -1, -1, 0, -1, 1, 0, 1]",False,True,3
"((0, 0), (((0, 0), (((0, 0), ((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, -1, 1, 1, 0]",False,True,3
"(((0, 0), ((0, 0), (((0, 0), ((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, 0, -1, -1, -1]",False,True,2
"((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), ((1,...","[-1, -1, -1, 0, 0, -1, -1, 1]",False,True,3
"(((((0, 0), ((0, 0), ((0, 0), ((1, 0), (0, 0))))),...","[-1, -1, -1, 0, 0, -1, 0, 0]",False,True,2
"((0, 0), ((((0, 0), ((0, 0), ((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, 0, -1, 1, -1]",False,True,3
"(((0, 0), (((0, 0), ((0, 0), ((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, 0, -1, 1, 1]",False,True,3
"((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), ((1,...","[-1, -1, -1, 0, 0, 0, -1, 0]",False,True,2
"((((0, 0), ((0, 0), ((0, 0), ((0, 0), ((1, 0), (0,...","[-1, -1, -1, 0, 0, 0, 0, -1]",False,True,2
"((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0, 0), ((1,...","[-1, -1, -1, 0, 0, 0, 0, 1]",False,True,3
"(((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((1,...","[-1, -1, -1, 0, 0, 0, 1, 0]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, ...","[-1, -1, -1, 0, 0, 1, -1, -1]",False,True,3
"((((((((0, 1), (0, 0)), (0, 0)), (0, 0)), (0, 0)),...","[-1, -1, -1, 0, 0, 1, -1, 1]",False,True,3
"((0, 0), (((((((0, 1), (0, 0)), (0, 0)), (0, 0)), ...","[-1, -1, -1, 0, 0, 1, 0, 0]",False,True,3
"(((0, 0), ((((((0, 1), (0, 0)), (0, 0)), (0, 0)), ...","[-1, -1, -1, 0, 0, 1, 1, -1]",False,True,3
"((0, 0), ((0, 0), ((((((0, 1), (0, 0)), (0, 0)), (...","[-1, -1, -1, 0, 0, 1, 1, 1]",True,True,3
"((((0, 0), (((((0, 1), (0, 0)), (0, 0)), (0, 0)), ...","[-1, -1, -1, 0, 1, -1, -1, 0]",False,True,3
"((0, 0), (((0, 0), (((((0, 1), (0, 0)), (0, 0)), (...","[-1, -1, -1, 0, 1, -1, 0, -1]",False,True,3
"(((0, 0), ((0, 0), (((((0, 1), (0, 0)), (0, 0)), (...","[-1, -1, -1, 0, 1, -1, 0, 1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), (((((0, 1), (0, 0)), (0...","[-1, -1, -1, 0, 1, -1, 1, 0]",False,True,3
"(((((0, 0), ((((0, 1), (0, 0)), (0, 0)), (0, 0))),...","[-1, -1, -1, 0, 1, 0, -1, -1]",False,True,3
"((0, 0), ((((0, 0), ((((0, 1), (0, 0)), (0, 0)), (...","[-1, -1, -1, 0, 1, 0, -1, 1]",False,True,3
"(((0, 0), (((0, 0), ((((0, 1), (0, 0)), (0, 0)), (...","[-1, -1, -1, 0, 1, 0, 0, 0]",False,True,3
"((0, 0), ((0, 0), (((0, 0), ((((0, 1), (0, 0)), (0...","[-1, -1, -1, 0, 1, 0, 1, -1]",False,True,3
"((((0, 0), ((0, 0), ((((0, 1), (0, 0)), (0, 0)), (...","[-1, -1, -1, 0, 1, 0, 1, 1]",False,True,3
"((0, 0), (((0, 0), ((0, 0), ((((0, 1), (0, 0)), (0...","[-1, -1, -1, 0, 1, 1, -1, 0]",False,True,3
"(((0, 0), ((0, 0), ((0, 0), ((((0, 1), (0, 0)), (0...","[-1, -1, -1, 0, 1, 1, 0, -1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((((0, 1), (0,...","[-1, -1, -1, 0, 1, 1, 0, 1]",False,True,3
"((((((0, 0), (((0, 1), (0, 0)), (0, 0))), (0, 0)),...","[-1, -1, -1, 0, 1, 1, 1, 0]",False,True,3
"((0, 0), (((((0, 0), (((0, 1), (0, 0)), (0, 0))), ...","[-1, -1, -1, 1, -1, -1, -1, -1]",False,True,2
"(((0, 0), ((((0, 0), (((0, 1), (0, 0)), (0, 0))), ...","[-1, -1, -1, 1, -1, -1, -1, 1]",False,True,2
"((0, 0), ((0, 0), ((((0, 0), (((0, 1), (0, 0)), (0...","[-1, -1, -1, 1, -1, -1, 0, 0]",False,True,3
"((((0, 0), (((0, 0), (((0, 1), (0, 0)), (0, 0))), ...","[-1, -1, -1, 1, -1, -1, 1, -1]",False,True,2
"((0, 0), (((0, 0), (((0, 0), (((0, 1), (0, 0)), (0...","[-1, -1, -1, 1, -1, -1, 1, 1]",False,True,2
"(((0, 0), ((0, 0), (((0, 0), (((0, 1), (0, 0)), (0...","[-1, -1, -1, 1, -1, 0, -1, 0]",False,True,3
"((0, 0), ((0, 0), ((0, 0), (((0, 0), (((0, 1), (0,...","[-1, -1, -1, 1, -1, 0, 0, -1]",False,True,3
"(((((0, 0), ((0, 0), (((0, 1), (0, 0)), (0, 0)))),...","[-1, -1, -1, 1, -1, 0, 0, 1]",False,True,3
"((0, 0), ((((0, 0), ((0, 0), (((0, 1), (0, 0)), (0...","[-1, -1, -1, 1, -1, 0, 1, 0]",False,True,3
"(((0, 0), (((0, 0), ((0, 0), (((0, 1), (0, 0)), (0...","[-1, -1, -1, 1, -1, 1, -1, -1]",False,True,2
"((0, 0), ((0, 0), (((0, 0), ((0, 0), (((0, 1), (0,...","[-1, -1, -1, 1, -1, 1, -1, 1]",False,True,2
"((((0, 0), ((0, 0), ((0, 0), (((0, 1), (0, 0)), (0...","[-1, -1, -1, 1, -1, 1, 0, 0]",False,True,3
"((0, 0), (((0, 0), ((0, 0), ((0, 0), (((0, 1), (0,...","[-1, -1, -1, 1, -1, 1, 1, -1]",False,True,2
"(((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 1), (0,...","[-1, -1, -1, 1, -1, 1, 1, 1]",True,True,2
"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0,...","[-1, -1, -1, 1, 0, -1, -1, 0]",False,True,3
"(((((((0, 0), ((0, 1), (0, 0))), (0, 0)), (0, 0)),...","[-1, -1, -1, 1, 0, -1, 0, -1]",False,True,3
"((0, 0), ((((((0, 0), ((0, 1), (0, 0))), (0, 0)), ...","[-1, -1, -1, 1, 0, -1, 0, 1]",False,True,3
"(((0, 0), (((((0, 0), ((0, 1), (0, 0))), (0, 0)), ...","[-1, -1, -1, 1, 0, -1, 1, 0]",False,True,3
"((0, 0), ((0, 0), (((((0, 0), ((0, 1), (0, 0))), (...","[-1, -1, -1, 1, 0, 0, -1, -1]",False,True,3
"((((0, 0), ((((0, 0), ((0, 1), (0, 0))), (0, 0)), ...","[-1, -1, -1, 1, 0, 0, -1, 1]",False,True,3
"((0, 0), (((0, 0), ((((0, 0), ((0, 1), (0, 0))), (...","[-1, -1, -1, 1, 0, 0, 0, 0]",False,True,3
"(((0, 0), ((0, 0), ((((0, 0), ((0, 1), (0, 0))), (...","[-1, -1, -1, 1, 0, 0, 1, -1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 0, 0, 1, 1]",False,True,3
"(((((0, 0), (((0, 0), ((0, 1), (0, 0))), (0, 0))),...","[-1, -1, -1, 1, 0, 1, -1, 0]",False,True,3
"((0, 0), ((((0, 0), (((0, 0), ((0, 1), (0, 0))), (...","[-1, -1, -1, 1, 0, 1, 0, -1]",False,True,3
"(((0, 0), (((0, 0), (((0, 0), ((0, 1), (0, 0))), (...","[-1, -1, -1, 1, 0, 1, 0, 1]",False,True,3
"((0, 0), ((0, 0), (((0, 0), (((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 0, 1, 1, 0]",False,True,3
"((((0, 0), ((0, 0), (((0, 0), ((0, 1), (0, 0))), (...","[-1, -1, -1, 1, 1, -1, -1, -1]",False,True,2
"((0, 0), (((0, 0), ((0, 0), (((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 1, -1, -1, 1]",False,True,2
"(((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 1, -1, 0, 0]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0,...","[-1, -1, -1, 1, 1, -1, 1, -1]",False,True,2
"((((((0, 0), ((0, 0), ((0, 1), (0, 0)))), (0, 0)),...","[-1, -1, -1, 1, 1, -1, 1, 1]",False,True,2
"((0, 0), (((((0, 0), ((0, 0), ((0, 1), (0, 0)))), ...","[-1, -1, -1, 1, 1, 0, -1, 0]",False,True,3
"(((0, 0), ((((0, 0), ((0, 0), ((0, 1), (0, 0)))), ...","[-1, -1, -1, 1, 1, 0, 0, -1]",False,True,3
"((0, 0), ((0, 0), ((((0, 0), ((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 1, 0, 0, 1]",False,True,3
"((((0, 0), (((0, 0), ((0, 0), ((0, 1), (0, 0)))), ...","[-1, -1, -1, 1, 1, 0, 1, 0]",False,True,3
"((0, 0), (((0, 0), (((0, 0), ((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 1, 1, -1, -1]",False,True,2
"(((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 1, 1, -1, 1]",False,True,2
"((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0,...","[-1, -1, -1, 1, 1, 1, 0, 0]",False,True,3
"(((((0, 0), ((0, 0), ((0, 0), ((0, 1), (0, 0))))),...","[-1, -1, -1, 1, 1, 1, 1, -1]",False,True,2
"((0, 0), ((((0, 0), ((0, 0), ((0, 0), ((0, 1), (0,...","[-1, -1, -1, 1, 1, 1, 1, 1]",False,True,2
"(((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0, 1), (0,...","[-1, -1, 0, -1, -1, -1, -1, 0]",False,True,2
"((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0,...","[-1, -1, 0, -1, -1, -1, 0, -1]",False,True,2
"((((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 1), (0,...","[-1, -1, 0, -1, -1, -1, 0, 1]",False,True,3
"((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0,...","[-1, -1, 0, -1, -1, -1, 1, 0]",False,True,3
"(((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0,...","[-1, -1, 0, -1, -1, 0, -1, -1]",False,True,2
"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, ...","[-1, -1, 0, -1, -1, 0, -1, 1]",False,True,3
"((((((((0, 0), (1, 0)), (0, 0)), (0, 0)), (0, 0)),...","[-1, -1, 0, -1, -1, 0, 0, 0]",False,True,2
"((0, 0), (((((((0, 0), (1, 0)), (0, 0)), (0, 0)), ...","[-1, -1, 0, -1, -1, 0, 1, -1]",False,True,3
"(((0, 0), ((((((0, 0), (1, 0)), (0, 0)), (0, 0)), ...","[-1, -1, 0, -1, -1, 0, 1, 1]",False,True,3
"((0, 0), ((0, 0), ((((((0, 0), (1, 0)), (0, 0)), (...","[-1, -1, 0, -1, -1, 1, -1, 0]",False,True,3
"((((0, 0), (((((0, 0), (1, 0)), (0, 0)), (0, 0)), ...","[-1, -1, 0, -1, -1, 1, 0, -1]",False,True,3
"((0, 0), (((0, 0), (((((0, 0), (1, 0)), (0, 0)), (...","[-1, -1, 0, -1, -1, 1, 0, 1]",False,True,3
"(((0, 0), ((0, 0), (((((0, 0), (1, 0)), (0, 0)), (...","[-1, -1, 0, -1, -1, 1, 1, 0]",False,True,3
"((0, 0), ((0, 0), ((0, 0), (((((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 0, -1, -1, -1]",False,True,2
"(((((0, 0), ((((0, 0), (1, 0)), (0, 0)), (0, 0))),...","[-1, -1, 0, -1, 0, -1, -1, 1]",False,True,3
"((0, 0), ((((0, 0), ((((0, 0), (1, 0)), (0, 0)), (...","[-1, -1, 0, -1, 0, -1, 0, 0]",False,True,2
"(((0, 0), (((0, 0), ((((0, 0), (1, 0)), (0, 0)), (...","[-1, -1, 0, -1, 0, -1, 1, -1]",False,True,3
"((0, 0), ((0, 0), (((0, 0), ((((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 0, -1, 1, 1]",False,True,3
"((((0, 0), ((0, 0), ((((0, 0), (1, 0)), (0, 0)), (...","[-1, -1, 0, -1, 0, 0, -1, 0]",False,True,2
"((0, 0), (((0, 0), ((0, 0), ((((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 0, 0, 0, -1]",False,True,2
"(((0, 0), ((0, 0), ((0, 0), ((((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 0, 0, 0, 1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((((0, 0), (1,...","[-1, -1, 0, -1, 0, 0, 1, 0]",False,True,3
"((((((0, 0), (((0, 0), (1, 0)), (0, 0))), (0, 0)),...","[-1, -1, 0, -1, 0, 1, -1, -1]",False,True,3
"((0, 0), (((((0, 0), (((0, 0), (1, 0)), (0, 0))), ...","[-1, -1, 0, -1, 0, 1, -1, 1]",False,True,3
"(((0, 0), ((((0, 0), (((0, 0), (1, 0)), (0, 0))), ...","[-1, -1, 0, -1, 0, 1, 0, 0]",False,True,3
"((0, 0), ((0, 0), ((((0, 0), (((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 0, 1, 1, -1]",False,True,3
"((((0, 0), (((0, 0), (((0, 0), (1, 0)), (0, 0))), ...","[-1, -1, 0, -1, 0, 1, 1, 1]",False,True,3
"((0, 0), (((0, 0), (((0, 0), (((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 1, -1, -1, 0]",False,True,3
"(((0, 0), ((0, 0), (((0, 0), (((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 1, -1, 0, -1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), (((0, 0), (((0, 0), (1,...","[-1, -1, 0, -1, 1, -1, 0, 1]",False,True,3
"(((((0, 0), ((0, 0), (((0, 0), (1, 0)), (0, 0)))),...","[-1, -1, 0, -1, 1, -1, 1, 0]",False,True,3
"((0, 0), ((((0, 0), ((0, 0), (((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 1, 0, -1, -1]",False,True,3
"(((0, 0), (((0, 0), ((0, 0), (((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 1, 0, -1, 1]",False,True,3
"((0, 0), ((0, 0), (((0, 0), ((0, 0), (((0, 0), (1,...","[-1, -1, 0, -1, 1, 0, 0, 0]",False,True,3
"((((0, 0), ((0, 0), ((0, 0), (((0, 0), (1, 0)), (0...","[-1, -1, 0, -1, 1, 0, 1, -1]",False,True,3
"((0, 0), (((0, 0), ((0, 0), ((0, 0), (((0, 0), (1,...","[-1, -1, 0, -1, 1, 0, 1, 1]",True,True,3
"(((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), (1,...","[-1, -1, 0, -1, 1, 1, -1, 0]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0,...","[-1, -1, 0, -1, 1, 1, 0, -1]",False,True,3
"(((((((0, 0), ((0, 0), (1, 0))), (0, 0)), (0, 0)),...","[-1, -1, 0, -1, 1, 1, 0, 1]",False,True,3
"((0, 0), ((((((0, 0), ((0, 0), (1, 0))), (0, 0)), ...","[-1, -1, 0, -1, 1, 1, 1, 0]",False,True,3
"(((0, 0), (((((0, 0), ((0, 0), (1, 0))), (0, 0)), ...","[-1, -1, 0, 0, -1, -1, -1, -1]",False,True,2
"((0, 0), ((0, 0), (((((0, 0), ((0, 0), (1, 0))), (...","[-1, -1, 0, 0, -1, -1, -1, 1]",False,True,3
"((((0, 0), ((((0, 0), ((0, 0), (1, 0))), (0, 0)), ...","[-1, -1, 0, 0, -1, -1, 0, 0]",False,True,2
"((0, 0), (((0, 0), ((((0, 0), ((0, 0), (1, 0))), (...","[-1, -1, 0, 0, -1, -1, 1, -1]",False,True,3
"(((0, 0), ((0, 0), ((((0, 0), ((0, 0), (1, 0))), (...","[-1, -1, 0, 0, -1, -1, 1, 1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, -1, 0, -1, 0]",False,True,2
"(((((0, 0), (((0, 0), ((0, 0), (1, 0))), (0, 0))),...","[-1, -1, 0, 0, -1, 0, 0, -1]",False,True,2
"((0, 0), ((((0, 0), (((0, 0), ((0, 0), (1, 0))), (...","[-1, -1, 0, 0, -1, 0, 0, 1]",False,True,3
"(((0, 0), (((0, 0), (((0, 0), ((0, 0), (1, 0))), (...","[-1, -1, 0, 0, -1, 0, 1, 0]",False,True,3
"((0, 0), ((0, 0), (((0, 0), (((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, -1, 1, -1, -1]",False,True,3
"((((0, 0), ((0, 0), (((0, 0), ((0, 0), (1, 0))), (...","[-1, -1, 0, 0, -1, 1, -1, 1]",False,True,3
"((0, 0), (((0, 0), ((0, 0), (((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, -1, 1, 0, 0]",False,True,3
"(((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, -1, 1, 1, -1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0,...","[-1, -1, 0, 0, -1, 1, 1, 1]",False,True,3
"((((((0, 0), ((0, 0), ((0, 0), (1, 0)))), (0, 0)),...","[-1, -1, 0, 0, 0, -1, -1, 0]",False,True,2
"((0, 0), (((((0, 0), ((0, 0), ((0, 0), (1, 0)))), ...","[-1, -1, 0, 0, 0, -1, 0, -1]",False,True,2
"(((0, 0), ((((0, 0), ((0, 0), ((0, 0), (1, 0)))), ...","[-1, -1, 0, 0, 0, -1, 0, 1]",False,True,3
"((0, 0), ((0, 0), ((((0, 0), ((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, 0, -1, 1, 0]",False,True,3
"((((0, 0), (((0, 0), ((0, 0), ((0, 0), (1, 0)))), ...","[-1, -1, 0, 0, 0, 0, -1, -1]",False,True,2
"((0, 0), (((0, 0), (((0, 0), ((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, 0, 0, -1, 1]",False,True,3
"(((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, 0, 0, 0, 0]",False,True,2
"((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0,...","[-1, -1, 0, 0, 0, 0, 1, -1]",False,True,3
"(((((0, 0), ((0, 0), ((0, 0), ((0, 0), (1, 0))))),...","[-1, -1, 0, 0, 0, 0, 1, 1]",True,True,3
"((0, 0), ((((0, 0), ((0, 0), ((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, 0, 1, -1, 0]",False,True,3
"(((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, 0, 1, 0, -1]",False,True,3
"((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0,...","[-1, -1, 0, 0, 0, 1, 0, 1]",False,True,3
"((((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (1,...","[-1, -1, 0, 0, 0, 1, 1, 0]",False,True,3
"((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0,...","[-1, -1, 0, 0, 1, -1, -1, -1]",False,True,3
"(((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0,...","[-1, -1, 0, 0, 1, -1, -1, 1]",False,True,3
"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, ...","[-1, -1, 0, 0, 1, -1, 0, 0]",False,True,3
"((((((((0, 0), (0, 1)), (0, 0)), (0, 0)), (0, 0)),...","[-1, -1, 0, 0, 1, -1, 1, -1]",False,True,3
