==PROF== Connected to process 1476491 (/home/eirikr/Github/open_gororoba/.cache/cargo-default-target/release/deps/gpu_sparse_1024-32f6a2758b8dee11)
==PROF== Disconnected from process 1476491
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","hz","10491488896.59",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","hz","2619762003.15",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","78692239",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","75.67",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","75.67",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","ns","30008800",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","10.34",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","16.00",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","78151792.77",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","26.87",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","Memory is more heavily utilized than Compute: Look at the Memory Workload Analysis section to identify the DRAM bottleneck. Check memory replay (coalescing) metrics to make sure you're efficiently utilizing the bytes transferred. Also consider whether it is possible to do more work per memory access (kernel fusion) or whether there are values you can (re)compute.","",""
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L2 Sector Promotion Misses","%","0",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Memory Throughput","byte/s","381062903148.41",
"0","1476491","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Mem Busy","%","13.51",
