id	key	title	status	canonical_functional_url	nonworking_mirrors	source_refs
ASOT-0021	doi:10.1073/pnas.0402717101	**Mazur, P. O., & Mottola, E.** (2004). *Gravitational vacuum condensate stars*. PNAS 101, 9545-9550. DOI: 10.1073/pnas.0402717101.	blocked	https://doi.org/10.1073/pnas.0402717101	https://doi.org/10.1073/pnas.0402717101	BIB-0005; docs/BIBLIOGRAPHY.md:19; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:23; refs.bib::Mazur2004GravastarPNAS; registry/bibliography.toml::entry/4::BIB-0005; registry/bibliography_normalized.toml::entry/4::BIBN-0005
ASOT-0022	doi:10.1080/00927870701724094	**Biss, D. K., Dugger, D., & Isaksen, D. C.** (2008). *Large annihilators in Cayley-Dickson algebras*. *Communications in Algebra* 36(2), 632-664. (Cited by Reggiani 2024; annihilator structure.)	blocked	https://doi.org/10.1080/00927870701724094	https://doi.org/10.1080/00927870701724094	BIB-0093; docs/BIBLIOGRAPHY.md:205; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:191; refs.bib::BissDuggerIsaksen2008Annihilators; registry/bibliography.toml::entry/92::BIB-0093; registry/bibliography_normalized.toml::entry/92::BIBN-0093
ASOT-0023	doi:10.1080/03605300600987306	**Caffarelli, L., & Silvestre, L.** (2007). *An extension problem related to the fractional Laplacian*. Communications in Partial Differential Equations, 32(7-9), 1245-1260. DOI: 10.1080/03605300600987306.	blocked	https://doi.org/10.1080/03605300600987306	https://doi.org/10.1080/03605300600987306	BIB-0098; docs/BIBLIOGRAPHY.md:215; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:197; refs.bib::CaffarelliSilvestre2007Extension; registry/bibliography.toml::entry/97::BIB-0098; registry/bibliography_normalized.toml::entry/97::BIBN-0098
ASOT-0024	doi:10.1080/03605301003735680	**Stinga, P. R., & Torrea, J. L.** (2010). *Extension problem and Harnack's inequality for some fractional operators*. Communications in Partial Differential Equations, 35(11), 2092-2122. DOI: 10.1080/03605301003735680.	blocked	https://doi.org/10.1080/03605301003735680	https://doi.org/10.1080/03605301003735680	BIB-0101; docs/BIBLIOGRAPHY.md:218; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:200; refs.bib::StingaTorrea2010Extension; registry/bibliography.toml::entry/100::BIB-0101; registry/bibliography_normalized.toml::entry/100::BIBN-0101
ASOT-0025	doi:10.1080/14786444808646059	On a new imaginary in algebra	blocked	https://doi.org/10.1080/14786444808646059	https://doi.org/10.1080/14786444808646059	reports/literature_canonical_gap_matrix_2026_02_14.toml::canonical_check/5::CAN-COQ-1849-COCKLE-NEW-IMAGINARY
ASOT-0026	doi:10.1080/14786444908646169	On systems of algebra involving more than one imaginary	blocked	https://doi.org/10.1080/14786444908646169	https://doi.org/10.1080/14786444908646169	reports/literature_canonical_gap_matrix_2026_02_14.toml::canonical_check/4::CAN-COQ-1849-COCKLE-SYSTEMS
ASOT-0030	doi:10.1098/rspa.1984.0023	**Berry, M. V.** (1984). *Quantal Phase Factors Accompanying Adiabatic Changes*. Proc. R. Soc. Lond. A 392, 45-57. DOI: 10.1098/rspa.1984.0023.	blocked	https://doi.org/10.1098/rspa.1984.0023	https://doi.org/10.1098/rspa.1984.0023	BIB-0028; docs/BIBLIOGRAPHY.md:71; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:69; refs.bib::Berry1984GeometricPhase; registry/bibliography.toml::entry/27::BIB-0028; registry/bibliography_normalized.toml::entry/27::BIBN-0028
ASOT-0031	doi:10.1103/physrev.124.925	**Brans, C., & Dicke, R. H.** (1961). *Mach's principle and a relativistic theory of gravitation*. Physical Review 124(3), 925-935. DOI: 10.1103/PhysRev.124.925.	blocked	https://doi.org/10.1103/PhysRev.124.925	https://doi.org/10.1103/PhysRev.124.925	BIB-0187; docs/BIBLIOGRAPHY.md:419; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:359; refs.bib::BransDicke1961; registry/bibliography.toml::entry/186::BIB-0187; registry/bibliography_normalized.toml::entry/186::BIBN-0187
ASOT-0032	doi:10.1103/physrevb.14.2239	**Hofstadter, D. R.** (1976). *Energy levels and wave functions of Bloch electrons in rational and irrational magnetic fields*. Phys. Rev. B 14, 2239-2249. DOI: 10.1103/PhysRevB.14.2239.	blocked	https://doi.org/10.1103/PhysRevB.14.2239	https://doi.org/10.1103/PhysRevB.14.2239	BIB-0023; docs/BIBLIOGRAPHY.md:61; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:59; refs.bib::Hofstadter1976Butterfly; registry/bibliography.toml::entry/22::BIB-0023; registry/bibliography_normalized.toml::entry/22::BIBN-0023
ASOT-0034	doi:10.1103/physrevd.23.287	**Bekenstein, J. D.** (1981). *Universal upper bound on the entropy-to-energy ratio for bounded systems*. Phys. Rev. D 23, 287-298. DOI: 10.1103/PhysRevD.23.287.	blocked	https://doi.org/10.1103/PhysRevD.23.287	https://doi.org/10.1103/PhysRevD.23.287	BIB-0035; docs/BIBLIOGRAPHY.md:89; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:83; refs.bib::Bekenstein1981Bound; registry/bibliography.toml::entry/34::BIB-0035; registry/bibliography_normalized.toml::entry/34::BIBN-0035
