u_low,u_high,u_sign,v_low,v_high,v_sign
1,10,-1,4,15,1
1,10,-1,5,14,-1
1,10,-1,6,13,1
1,10,-1,7,12,-1
1,10,1,4,15,-1
1,10,1,5,14,1
1,10,1,6,13,-1
1,10,1,7,12,1
1,11,-1,4,14,-1
1,11,-1,5,15,-1
1,11,-1,6,12,1
1,11,-1,7,13,1
1,11,1,4,14,1
1,11,1,5,15,1
1,11,1,6,12,-1
1,11,1,7,13,-1
1,12,-1,2,15,-1
1,12,-1,3,14,1
1,12,-1,6,11,-1
1,12,-1,7,10,1
1,12,1,2,15,1
1,12,1,3,14,-1
1,12,1,6,11,1
1,12,1,7,10,-1
1,13,-1,2,14,1
1,13,-1,3,15,1
1,13,-1,6,10,-1
1,13,-1,7,11,-1
1,13,1,2,14,-1
1,13,1,3,15,-1
1,13,1,6,10,1
1,13,1,7,11,1
1,14,-1,2,13,-1
1,14,-1,3,12,-1
1,14,-1,4,11,1
1,14,-1,5,10,1
1,14,1,2,13,1
1,14,1,3,12,1
1,14,1,4,11,-1
1,14,1,5,10,-1
1,15,-1,2,12,1
1,15,-1,3,13,-1
1,15,-1,4,10,-1
1,15,-1,5,11,1
1,15,1,2,12,-1
1,15,1,3,13,1
1,15,1,4,10,1
1,15,1,5,11,-1
2,9,-1,4,15,-1
2,9,-1,5,14,1
2,9,-1,6,13,-1
2,9,-1,7,12,1
2,9,1,4,15,1
2,9,1,5,14,-1
2,9,1,6,13,1
2,9,1,7,12,-1
2,11,-1,4,13,1
2,11,-1,5,12,-1
2,11,-1,6,15,-1
2,11,-1,7,14,1
2,11,1,4,13,-1
2,11,1,5,12,1
2,11,1,6,15,1
2,11,1,7,14,-1
2,12,-1,1,15,1
2,12,-1,3,13,-1
2,12,-1,5,11,1
2,12,-1,7,9,-1
2,12,1,1,15,-1
2,12,1,3,13,1
2,12,1,5,11,-1
2,12,1,7,9,1
2,13,-1,1,14,-1
2,13,-1,3,12,1
2,13,-1,4,11,-1
