protocol=periodic_MRT_D3Q19_grid8_steps12_tau0.8
engineering_gate=0.00002
metrics=absolute_RMS_post_step_population_density_raw_momentum
impulse_gate=0.00002_absolute_max_component_mean_momentum
force_semantics=force_density_in_lattice_units
physical_velocity_half_step=excluded_from_raw_momentum_comparison
captured_path=explicit_step_graph_pair
forced,step,comparison,population_rms,density_rms,momentum_rms,minimum_population,cpu_impulse_error,gpu_impulse_error,conformance_pass,impulse_pass
false,2,cpu_direct,1.11974358749281632e-8,5.85800262776908918e-8,1.85586722703886520e-8,2.46666550194952726e-2,1.34170018845081174e-18,4.58385329856186158e-10,true,true
false,2,cpu_captured,1.11974358749281632e-8,5.85800262776908918e-8,1.85586722703886520e-8,2.46666550194952726e-2,1.34170018845081174e-18,4.58385329856186158e-10,true,true
false,2,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.46666595339775085e-2,1.34170018845081174e-18,4.58385329856186158e-10,true,true
false,4,cpu_direct,1.19433966142762925e-8,6.91310147663010293e-8,2.14816647908822320e-8,2.47250323770813567e-2,1.74827600313287590e-18,6.03904482139854676e-10,true,true
false,4,cpu_captured,1.19433966142762925e-8,6.91310147663010293e-8,2.14816647908822320e-8,2.47250323770813567e-2,1.74827600313287590e-18,6.03904482139854676e-10,true,true
false,4,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.47250385582447052e-2,1.74827600313287590e-18,6.03904482139854676e-10,true,true
false,6,cpu_direct,1.22838806352933675e-8,8.14472393401723042e-8,2.06431302717693763e-8,2.52756588160991669e-2,1.68051336735253187e-18,3.63797880871801621e-10,true,true
false,6,cpu_captured,1.22838806352933675e-8,8.14472393401723042e-8,2.06431302717693763e-8,2.52756588160991669e-2,1.68051336735253187e-18,3.63797880871801621e-10,true,true
false,6,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.52756588160991669e-2,1.68051336735253187e-18,3.63797880871801621e-10,true,true
false,8,cpu_direct,1.28730868224504049e-8,9.32714782146969799e-8,2.14448629660752688e-8,2.57581028068947226e-2,1.78893358460108232e-18,1.20053300625895011e-9,true,true
false,8,cpu_captured,1.28730868224504049e-8,9.32714782146969799e-8,2.14448629660752688e-8,2.57581028068947226e-2,1.78893358460108232e-18,1.20053300625895011e-9,true,true
false,8,direct_captured,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.57581099867820740e-2,1.78893358460108232e-18,1.20053300625895011e-9,true,true
false,10,cpu_direct,1.37073868067061244e-8,1.12476597611280414e-7,2.27345237953439544e-8,2.57298760116100311e-2,3.80148386727729992e-18,1.52067514128302085e-9,true,true
