# n_ref_cm3=0.104000
# v_ref_kms=500.000000
# u_scale=0.050000
# kn_regime=Kinetic
# kn_max=1255621613.32
x,y,z,rho,ux,uy,uz,bx,by,bz
12,1,0,1.00000000,0.04998000,0.00000000,0.00000000,1.00000000e-5,-3.40000000e-4,1.00000000e-5
13,1,0,1.00961538,0.04992000,0.00000000,0.00000000,3.00000000e-5,-2.90000000e-4,-2.00000000e-5
14,1,0,1.00961538,0.04988000,0.00000000,0.00000000,7.00000000e-5,-2.40000000e-4,-1.50000000e-4
15,1,0,1.01923077,0.04988000,0.00000000,0.00000000,8.00000000e-5,-2.30000000e-4,-1.70000000e-4
16,1,0,1.02884615,0.04992000,0.00000000,0.00000000,1.40000000e-4,-2.10000000e-4,-1.00000000e-4
17,1,0,1.02884615,0.04997000,0.00000000,0.00000000,1.40000000e-4,-1.40000000e-4,-1.00000000e-4
18,1,0,1.05769231,0.05000000,0.00000000,0.00000000,1.40000000e-4,-1.80000000e-4,-9.00000000e-5
19,1,0,1.12500000,0.05000000,0.00000000,0.00000000,1.70000000e-4,-2.90000000e-4,8.00000000e-5
20,1,0,1.21153846,0.04997000,0.00000000,0.00000000,4.00000000e-5,-3.50000000e-4,-1.00000000e-5
21,1,0,1.32692308,0.04991000,0.00000000,0.00000000,2.00000000e-5,-3.50000000e-4,-5.00000000e-5
22,1,0,1.47115385,0.04983000,0.00000000,0.00000000,-2.00000000e-5,-3.50000000e-4,-5.00000000e-5
23,1,0,1.61538462,0.04975000,0.00000000,0.00000000,3.00000000e-5,-3.40000000e-4,-3.00000000e-5
0,0,1,0.82692308,0.04753000,0.00000000,0.00000000,-1.00000000e-5,-3.80000000e-4,1.70000000e-4
1,0,1,0.99038462,0.05083000,0.00000000,0.00000000,8.00000000e-5,-4.20000000e-4,4.00000000e-5
2,0,1,0.97115385,0.05080000,0.00000000,0.00000000,-5.00000000e-5,-3.60000000e-4,-5.00000000e-5
3,0,1,0.96153846,0.05070000,0.00000000,0.00000000,-6.00000000e-5,-3.60000000e-4,-5.00000000e-5
4,0,1,0.97115385,0.05058000,0.00000000,0.00000000,-4.00000000e-5,-3.60000000e-4,-2.00000000e-5
5,0,1,0.98076923,0.05047000,0.00000000,0.00000000,-7.00000000e-5,-3.30000000e-4,-6.00000000e-5
6,0,1,0.98076923,0.05038000,0.00000000,0.00000000,-5.00000000e-5,-3.30000000e-4,1.00000000e-5
7,0,1,0.99038462,0.05031000,0.00000000,0.00000000,6.00000000e-5,-3.00000000e-4,1.70000000e-4
8,0,1,0.99038462,0.05025000,0.00000000,0.00000000,1.20000000e-4,-3.20000000e-4,1.10000000e-4
9,0,1,0.99038462,0.05019000,0.00000000,0.00000000,-2.00000000e-5,-3.70000000e-4,1.00000000e-5
10,0,1,0.99038462,0.05013000,0.00000000,0.00000000,2.00000000e-5,-3.70000000e-4,-2.00000000e-5
11,0,1,0.99038462,0.05005000,0.00000000,0.00000000,4.00000000e-5,-3.20000000e-4,-1.00000000e-4
12,0,1,1.00000000,0.04998000,0.00000000,0.00000000,1.00000000e-5,-3.40000000e-4,1.00000000e-5
13,0,1,1.00961538,0.04992000,0.00000000,0.00000000,3.00000000e-5,-2.90000000e-4,-2.00000000e-5
14,0,1,1.00961538,0.04988000,0.00000000,0.00000000,7.00000000e-5,-2.40000000e-4,-1.50000000e-4
15,0,1,1.01923077,0.04988000,0.00000000,0.00000000,8.00000000e-5,-2.30000000e-4,-1.70000000e-4
16,0,1,1.02884615,0.04992000,0.00000000,0.00000000,1.40000000e-4,-2.10000000e-4,-1.00000000e-4
17,0,1,1.02884615,0.04997000,0.00000000,0.00000000,1.40000000e-4,-1.40000000e-4,-1.00000000e-4
18,0,1,1.05769231,0.05000000,0.00000000,0.00000000,1.40000000e-4,-1.80000000e-4,-9.00000000e-5
19,0,1,1.12500000,0.05000000,0.00000000,0.00000000,1.70000000e-4,-2.90000000e-4,8.00000000e-5
20,0,1,1.21153846,0.04997000,0.00000000,0.00000000,4.00000000e-5,-3.50000000e-4,-1.00000000e-5
21,0,1,1.32692308,0.04991000,0.00000000,0.00000000,2.00000000e-5,-3.50000000e-4,-5.00000000e-5
22,0,1,1.47115385,0.04983000,0.00000000,0.00000000,-2.00000000e-5,-3.50000000e-4,-5.00000000e-5
23,0,1,1.61538462,0.04975000,0.00000000,0.00000000,3.00000000e-5,-3.40000000e-4,-3.00000000e-5
0,1,1,0.82692308,0.04753000,0.00000000,0.00000000,-1.00000000e-5,-3.80000000e-4,1.70000000e-4
1,1,1,0.99038462,0.05083000,0.00000000,0.00000000,8.00000000e-5,-4.20000000e-4,4.00000000e-5
2,1,1,0.97115385,0.05080000,0.00000000,0.00000000,-5.00000000e-5,-3.60000000e-4,-5.00000000e-5
3,1,1,0.96153846,0.05070000,0.00000000,0.00000000,-6.00000000e-5,-3.60000000e-4,-5.00000000e-5
4,1,1,0.97115385,0.05058000,0.00000000,0.00000000,-4.00000000e-5,-3.60000000e-4,-2.00000000e-5
5,1,1,0.98076923,0.05047000,0.00000000,0.00000000,-7.00000000e-5,-3.30000000e-4,-6.00000000e-5
6,1,1,0.98076923,0.05038000,0.00000000,0.00000000,-5.00000000e-5,-3.30000000e-4,1.00000000e-5
7,1,1,0.99038462,0.05031000,0.00000000,0.00000000,6.00000000e-5,-3.00000000e-4,1.70000000e-4
8,1,1,0.99038462,0.05025000,0.00000000,0.00000000,1.20000000e-4,-3.20000000e-4,1.10000000e-4
9,1,1,0.99038462,0.05019000,0.00000000,0.00000000,-2.00000000e-5,-3.70000000e-4,1.00000000e-5
10,1,1,0.99038462,0.05013000,0.00000000,0.00000000,2.00000000e-5,-3.70000000e-4,-2.00000000e-5
11,1,1,0.99038462,0.05005000,0.00000000,0.00000000,4.00000000e-5,-3.20000000e-4,-1.00000000e-4
12,1,1,1.00000000,0.04998000,0.00000000,0.00000000,1.00000000e-5,-3.40000000e-4,1.00000000e-5
13,1,1,1.00961538,0.04992000,0.00000000,0.00000000,3.00000000e-5,-2.90000000e-4,-2.00000000e-5
14,1,1,1.00961538,0.04988000,0.00000000,0.00000000,7.00000000e-5,-2.40000000e-4,-1.50000000e-4
15,1,1,1.01923077,0.04988000,0.00000000,0.00000000,8.00000000e-5,-2.30000000e-4,-1.70000000e-4
16,1,1,1.02884615,0.04992000,0.00000000,0.00000000,1.40000000e-4,-2.10000000e-4,-1.00000000e-4
17,1,1,1.02884615,0.04997000,0.00000000,0.00000000,1.40000000e-4,-1.40000000e-4,-1.00000000e-4
18,1,1,1.05769231,0.05000000,0.00000000,0.00000000,1.40000000e-4,-1.80000000e-4,-9.00000000e-5
19,1,1,1.12500000,0.05000000,0.00000000,0.00000000,1.70000000e-4,-2.90000000e-4,8.00000000e-5
20,1,1,1.21153846,0.04997000,0.00000000,0.00000000,4.00000000e-5,-3.50000000e-4,-1.00000000e-5
21,1,1,1.32692308,0.04991000,0.00000000,0.00000000,2.00000000e-5,-3.50000000e-4,-5.00000000e-5
22,1,1,1.47115385,0.04983000,0.00000000,0.00000000,-2.00000000e-5,-3.50000000e-4,-5.00000000e-5
23,1,1,1.61538462,0.04975000,0.00000000,0.00000000,3.00000000e-5,-3.40000000e-4,-3.00000000e-5
